Tag_number,Tag shape,Reason,,,,,,,,
461,round,Tags on rocks (no good for growth in patch),,,,,,,,
1018,round,Tags on rocks (no good for growth in patch),,,,,,,,
1484,round,Tags on rocks (no good for growth in patch),,,,,,,,
484,round,Tags on rocks (no good for growth in patch),,,,,,,,
1493,round,Tags on rocks (no good for growth in patch),,,,,,,,
493,round,Tags on rocks (no good for growth in patch),,,,,,,,
1461,round,Tags on rocks (no good for growth in patch),,,,,,,,
700,round,Tags on rocks (no good for growth in patch),,,,,,,,
1453,round,Tags on rocks (no good for growth in patch),,,,,,,,
1495,round,Tags on rocks (no good for growth in patch),,,,,,,,
1466,round,Tags on rocks (no good for growth in patch),,,,,,,,
521,round,Tags on rocks (no good for growth in patch),,,,,,,,
600,round,Tags on rocks (no good for growth in patch),,,,,,,,
1228,round,Tags on rocks (no good for growth in patch),,,,,,,,
1227,round,Tags on rocks (no good for growth in patch),,,,,,,,
1334,round,Tags on rocks (no good for growth in patch),,,,,,,,
1192,round,Tags on rocks (no good for growth in patch),,,,,,,,
1085,round,Tags on rocks (no good for growth in patch),,,,,,,,
393,round,Tags on rocks (no good for growth in patch),,,,,,,,
85,round,Tags on rocks (no good for growth in patch),,,,,,,,
231,round,Tags on rocks (no good for growth in patch),,,,,,,,
1168,round,Tags on rocks (no good for growth in patch),,,,,,,,
168,round,Tags on rocks (no good for growth in patch),,,,,,,,
227,round,Tags on rocks (no good for growth in patch),,,,,,,,
228,round,Tags on rocks (no good for growth in patch),,,,,,,,
1356,round,Tags on rocks (no good for growth in patch),,,,,,,,
1396,round,Tags on rocks (no good for growth in patch),,,,,,,,
898,round,Tags on rocks (no good for growth in patch),,,,,,,,
897,round,Tags on rocks (no good for growth in patch),,,,,,,,
896,round,Tags on rocks (no good for growth in patch),,,,,,,,
895,round,Tags on rocks (no good for growth in patch),,,,,,,,
1896,round,Tags on rocks (no good for growth in patch),,,,,,,,
1895,round,Tags on rocks (no good for growth in patch),,,,,,,,
1898,round,Tags on rocks (no good for growth in patch),,,,,,,,
1897,round,Tags on rocks (no good for growth in patch),,,,,,,,
891,round,Tags on rocks (no good for growth in patch),,,,,,,,
697,round,Tags on rocks (no good for growth in patch),,,,,,,,
1600,round,Tags on rocks (no good for growth in patch),,,,,,,,
802,round,Tags on rocks (no good for growth in patch),,,,,,,,
621,round,Tags on rocks (no good for growth in patch),,,,,,,,
1621,round,Tags on rocks (no good for growth in patch),,,,,,,,
418,round,Tags on rocks (no good for growth in patch),,,,,,,,
1418,round,Tags on rocks (no good for growth in patch),,,,,,,,
1420,round,Tags on rocks (no good for growth in patch),,,,,,,,
904,long,Tags on rocks (no good for growth in patch),,,,,,,,
934,long,Tags on rocks (no good for growth in patch),,,,,,,,
1085,long,Tags on rocks (no good for growth in patch),,,,,,,,
1086,long,Tags on rocks (no good for growth in patch),,,,,,,,
587,long,Tags on rocks (no good for growth in patch),,,,,,,,
596,long,Tags on rocks (no good for growth in patch),,,,,,,,
1352,long,Tags on rocks (no good for growth in patch),,,,,,,,
752,long,Tags on rocks (no good for growth in patch),,,,,,,,
869,long,Tags on rocks (no good for growth in patch),,,,,,,,
780,long,Tags on rocks (no good for growth in patch),,,,,,,,
1400,long,Tags on rocks (no good for growth in patch),,,,,,,,
1188,long,Tags on rocks (no good for growth in patch),,,,,,,,
