grid,min_ndvi,max_ndvi,range_ndvi,mean_ndvi,std_ndvi
26,-0.306358367,-0.04587156,0.260486808,-0.188757959,0.053019281
27,-0.50666666,-0.357575744,0.149090916,-0.439434677,0.02768152
28,-0.166666672,-0.015873017,0.150793655,-0.083896861,0.033308297
21,-0.062761508,0.004405286,0.067166794,-0.034635931,0.015789605
22,-0.011673152,0.044982698,0.056655849,0.009973009,0.012928506
25,-0.058295965,0.035019454,0.093315419,-0.003308066,0.018853822
1,-0.069124423,0.090090089,0.159214512,0.022088367,0.042152359
2,-0.067307696,0.113207549,0.180515245,0.01128362,0.03634679
5,0.003861004,0.077551022,0.073690018,0.033941542,0.017872574
19,-0.081818178,0,0.081818178,-0.052213633,0.016573238
16,-0.092511013,-0.008928572,0.083582441,-0.052535102,0.016943166
17,-0.13333334,0.109004736,0.242338076,-0.041133236,0.043563099
15,0.073359072,0.136186764,0.062827691,0.10486371,0.015117356
14,0.055319149,0.144067794,0.088748645,0.09306802,0.019500255
11,0.016806724,0.1015625,0.084755776,0.057018593,0.019143814
6,0.015873017,0.141361251,0.125488235,0.073969414,0.03417823
9,0.010526316,0.193181813,0.182655497,0.100061122,0.035025399
8,0.021052632,0.149321273,0.12826864,0.096917178,0.029234362
