year,site,area_m,ndvi_min,ndvi_max,ndvi_range,ndvi_mean,ndvi_std
2009,1,27,-0.163120568,-0.10780669,0.055313878,-0.136889028,0.013459694
2009,2,26,-0.208955228,-0.133079842,0.075875387,-0.171617956,0.018846066
2009,3,25,-0.096345514,-0.046052631,0.050292883,-0.063320127,0.013816218
2009,4,25,-0.240143374,0.05479452,0.294937894,-0.127610039,0.091364196
2009,5,24,-0.126153842,-0.069486402,0.05666744,-0.08554989,0.016591223
2009,6,24,-0.149253726,-0.095057033,0.054196693,-0.121654947,0.014095154
2009,7,24,-0.092063494,-0.057692308,0.034371186,-0.076582138,0.007909443
2009,8,25,-0.161538467,-0.052238807,0.10929966,-0.128230836,0.027899445
2009,9,25,-0.182608694,-0.132530123,0.050078571,-0.155876724,0.012615934
2009,10,24,-0.161048695,-0.060931899,0.100116797,-0.116576203,0.028217873
2009,11,26,-0.091397852,-0.05235602,0.039041832,-0.07247925,0.009859259
2009,12,24,-0.085561499,-0.029810298,0.055751201,-0.053051749,0.014363082
2009,13,27,-0.103030302,-0.059171598,0.043858703,-0.072263525,0.010754314
2009,14,24,-0.157575756,-0.085043989,0.072531767,-0.115190567,0.021333353
2009,15,26,-0.08024691,-0.03514377,0.04510314,-0.056705341,0.009530058
2009,16,24,-0.166666672,-0.093117408,0.073549263,-0.117555541,0.021339147
2009,17,24,-0.154150203,-0.085501857,0.068648346,-0.119984511,0.017151613
2009,18,24,-0.132530123,0.023622047,0.15615217,-0.093022381,0.043279561
2009,19,23,-0.2074074,-0.144981414,0.062425986,-0.167434878,0.018564106
2009,20,26,-0.186046511,-0.147286817,0.038759694,-0.167694707,0.00942418
2009,21,24,-0.113149844,-0.018404908,0.094744936,-0.077680768,0.02736874
2009,22,24,-0.180076629,-0.059760958,0.120315671,-0.114605285,0.037543532
2009,23,26,0.010169491,0.333333343,0.323163852,0.137532983,0.096241417
2009,24,27,-0.087248325,-0.034246575,0.05300175,-0.061724781,0.012729064
2009,25,26,-0.088967972,0.003412969,0.092380941,-0.039478722,0.027183455
2009,26,26,-0.212121218,-0.175572515,0.036548704,-0.193416768,0.009946971
2009,27,26,-0.159817353,-0.126213595,0.033603758,-0.141874096,0.008683335
2009,28,23,-0.278431386,-0.203065127,0.075366259,-0.242625621,0.022659486
2009,29,22,-0.170731708,-0.137809187,0.032922521,-0.155351336,0.008096662
2009,30,27,-0.156521738,-0.111111112,0.045410626,-0.131739142,0.013038557
2009,S2,24,-0.16260162,-0.063670412,0.098931208,-0.110817969,0.021645113
2009,S31,24,-0.197026029,-0.169117644,0.027908385,-0.182885406,0.007592292
2009,S33,22,-0.167259783,-0.105882354,0.061377428,-0.137711188,0.017326142
2010,1,27,0.06031746,0.085526317,0.025208857,0.072518847,0.005792198
2010,2,26,0.03125,0.073825501,0.042575501,0.052193845,0.012808899
2010,3,25,0.074183978,0.115264796,0.041080818,0.096276945,0.011080108
